"","Con1","Con2","Con3","Ko1","Ko2","Ko3"
"ENSMUSG00000009640",222,1330,3705,258,1156,1227
"ENSMUSG00000086320",4,16,46,4,154,77
"ENSMUSG00000108127",0,0,0,0,0,0
"ENSMUSG00000084260",33,111,493,19,154,212
"ENSMUSG00000060862",238,1179,3131,205,1138,1984
"ENSMUSG00000048626",0,0,0,0,0,0
"ENSMUSG00000083507",0,0,0,0,0,0
"ENSMUSG00000077624",0,0,0,0,0,0
"ENSMUSG00000085542",0,0,11,12,23,23
"ENSMUSG00000087417",0,7,10,5,34,26
"ENSMUSG00000085833",22,119,408,8,70,105
"ENSMUSG00002076872",0,0,1,0,0,2
"ENSMUSG00002075216",0,0,0,0,0,0
"ENSMUSG00000080806",0,0,0,0,0,0
"ENSMUSG00000082149",0,0,0,0,0,0
"ENSMUSG00000006386",38,284,796,46,516,504
"ENSMUSG00000036856",4407,20376,53264,12024,46038,63773
"ENSMUSG00000028575",8,16,53,8,6,4
"ENSMUSG00000083179",266,1323,2880,198,894,1044
"ENSMUSG00000029071",632,3552,9292,583,2636,3374
"ENSMUSG00000029072",8,120,306,16,72,104
"ENSMUSG00000006699",4367,18191,46590,3684,19694,24381
"ENSMUSG00002074982",0,0,7,0,0,0
"ENSMUSG00000029073",286,1510,3814,188,1164,1468
"ENSMUSG00000070667",2,6,8,0,0,2
"ENSMUSG00000078520",490,3257,5270,314,3808,1352
"ENSMUSG00000062627",351,1042,3683,166,1081,1598
"ENSMUSG00000086251",0,0,0,0,0,0
"ENSMUSG00000052767",0,0,6,0,0,0
"ENSMUSG00000081030",0,0,0,0,0,0
"ENSMUSG00000023433",23893,186674,274861,22570,238660,93182
"ENSMUSG00000052684",1093,4758,14988,1227,7345,7007
"ENSMUSG00000086845",2,6,12,0,6,0
"ENSMUSG00000041399",0,0,0,0,0,0
"ENSMUSG00002076977",0,0,0,0,0,0
"ENSMUSG00000085377",0,0,0,0,0,0
"ENSMUSG00000100189",0,0,0,0,0,0
"ENSMUSG00000100129",0,0,0,0,0,0
"ENSMUSG00000085835",0,0,0,0,0,0
"ENSMUSG00000065745",0,0,2,0,0,0
"ENSMUSG00000029034",281,1369,3590,224,1158,1468
"ENSMUSG00000051557",96,463,1138,59,407,449
"ENSMUSG00000028542",82,659,1219,99,618,534
"ENSMUSG00000091237",0,0,0,0,0,0
"ENSMUSG00000078588",2,5,56,8,20,12
"ENSMUSG00000028763",201,1317,2907,242,1745,1828
"ENSMUSG00000099134",0,0,0,0,0,0
"ENSMUSG00000028573",129,472,1690,92,598,824
"ENSMUSG00000094035",0,0,0,6,0,0
"ENSMUSG00000093492",0,0,0,0,0,0
"ENSMUSG00000029033",337,1519,4274,276,1576,2224
"ENSMUSG00002076209",0,0,0,0,0,0
"ENSMUSG00000028541",74,736,1702,109,506,790
"ENSMUSG00000085278",0,2,0,0,0,0
"ENSMUSG00000033379",3360,17849,38104,2076,11328,12111
"ENSMUSG00000028540",142,864,1485,138,590,782
"ENSMUSG00000033365",419,1873,5473,394,1786,2530
"ENSMUSG00000028572",1193,4277,15924,727,4299,8824
"ENSMUSG00000028539",2,43,215,6,20,40
"ENSMUSG00000028571",0,0,0,0,0,0
"ENSMUSG00000118637",0,0,0,0,0,0
"ENSMUSG00000083880",0,0,0,0,0,0
"ENSMUSG00000081225",0,0,0,0,0,0
"ENSMUSG00000080884",0,0,0,0,0,0
"ENSMUSG00000083801",0,0,0,0,0,0
"ENSMUSG00000082681",0,0,0,0,0,0
"ENSMUSG00000043411",1138,4480,13239,744,4216,6447
"ENSMUSG00000023286",846,4264,10645,749,3985,4322
"ENSMUSG00000081362",0,0,0,0,0,0
"ENSMUSG00000084286",0,0,0,0,0,0
"ENSMUSG00000028538",343,2054,7160,704,2955,3683
"ENSMUSG00000066097",0,0,0,0,0,0
"ENSMUSG00000082119",0,0,0,0,0,0
"ENSMUSG00000082932",6,0,22,0,0,0
"ENSMUSG00000023571",100,443,2022,120,557,684
"ENSMUSG00000050796",242,1285,3440,345,1669,1795
"ENSMUSG00000052914",278,1677,4382,300,1494,2059
"ENSMUSG00000015224",0,6,44,4,42,26
"ENSMUSG00000052520",0,0,0,0,0,2
"ENSMUSG00000078639",0,0,0,0,0,0
"ENSMUSG00000088738",0,0,0,0,0,0
"ENSMUSG00000098261",0,0,0,0,0,0
"ENSMUSG00000084159",4,57,192,17,62,67
"ENSMUSG00000082683",0,0,0,0,0,0
"ENSMUSG00000029076",4981,26260,59240,4609,23177,29907
"ENSMUSG00000048747",0,0,0,0,0,0
"ENSMUSG00000085710",0,0,17,0,6,2
"ENSMUSG00000029075",1,16,62,6,23,6
"ENSMUSG00000103183",6,44,233,4,14,47
"ENSMUSG00000088545",0,0,0,0,0,0
"ENSMUSG00000041954",9,43,57,12,24,16
"ENSMUSG00000041351",940,5745,14485,1711,7375,7857
"ENSMUSG00000087476",39,284,673,35,179,213
"ENSMUSG00000033326",686,2732,9806,677,3424,6238
"ENSMUSG00000088303",0,0,0,0,0,0
"ENSMUSG00000028766",56,196,462,16,348,396
"ENSMUSG00000029074",11,135,413,28,129,142
"ENSMUSG00000086549",28,66,166,2,12,49
"ENSMUSG00000065427",0,0,0,0,0,0
"ENSMUSG00000065400",0,0,0,0,0,0
"ENSMUSG00000065549",0,0,0,0,0,0
"ENSMUSG00000057530",4197,20607,74853,5803,26923,44936
"ENSMUSG00000033295",3146,16414,61352,3856,20620,38092
"ENSMUSG00000098596",0,0,0,0,0,0
"ENSMUSG00000059939",52,244,748,36,238,262
"ENSMUSG00000110404",0,28,36,0,25,0
"ENSMUSG00000028565",134,408,985,67,313,516
"ENSMUSG00000081096",0,0,0,0,0,0
"ENSMUSG00000082388",0,0,0,0,0,0
"ENSMUSG00000083644",0,0,0,0,0,0
"ENSMUSG00000064883",0,0,0,0,0,0
"ENSMUSG00000046683",0,0,36,0,2,7
"ENSMUSG00000082144",6,4,28,0,16,9
"ENSMUSG00000033253",268,1165,3371,234,1002,1697
"ENSMUSG00000028563",784,3342,9885,696,3045,3848
"ENSMUSG00002076552",0,0,0,0,0,0
"ENSMUSG00000006392",511,2431,6341,406,2377,2313
"ENSMUSG00000006390",653,3582,8416,580,3900,3834
"ENSMUSG00000006398",6,76,180,26,151,133
"ENSMUSG00000081921",0,0,0,0,0,0
"ENSMUSG00000041936",155,800,2078,116,1137,1251
"ENSMUSG00000006389",0,6,0,0,6,0
"ENSMUSG00000035692",42,462,1079,52,810,452
"ENSMUSG00000078486",56,192,450,39,159,195
"ENSMUSG00000033191",164,976,2580,168,1068,1424
"ENSMUSG00000080857",0,0,0,0,0,0
"ENSMUSG00000081233",0,0,0,0,0,0
"ENSMUSG00000028536",26,210,516,44,192,188
"ENSMUSG00000050854",29,329,436,46,268,137
"ENSMUSG00000095567",693,3692,9730,578,4183,4327
"ENSMUSG00000028730",0,2,12,0,10,6
"ENSMUSG00000096351",0,4,34,0,7,0
"ENSMUSG00000111895",0,0,0,0,0,0
"ENSMUSG00000028729",991,5192,12352,780,4150,4509
"ENSMUSG00000085292",0,0,4,0,0,0
"ENSMUSG00000043698",0,0,0,0,0,0
"ENSMUSG00000086521",0,0,0,0,0,0
"ENSMUSG00000057021",0,0,0,0,0,0
"ENSMUSG00000096042",0,0,0,0,0,0
"ENSMUSG00000043383",0,0,0,1,4,12
"ENSMUSG00000046790",0,0,0,0,0,0
"ENSMUSG00000070821",0,0,0,0,0,0
"ENSMUSG00000070820",0,0,0,0,0,0
"ENSMUSG00000095218",0,0,0,0,0,0
"ENSMUSG00000111159",0,0,0,0,0,0
"ENSMUSG00000081474",0,0,0,0,0,0
"ENSMUSG00000066061",0,0,0,0,0,0
"ENSMUSG00000028760",1296,6349,21204,1774,9265,13764
"ENSMUSG00000110947",0,0,0,0,0,0
"ENSMUSG00000083336",0,0,0,0,0,0
"ENSMUSG00000073769",0,0,0,0,0,0
"ENSMUSG00000073768",0,0,0,0,0,0
"ENSMUSG00000084804",0,0,0,0,0,0
"ENSMUSG00000098513",0,0,0,0,0,0
"ENSMUSG00000096705",0,0,0,0,0,0
"ENSMUSG00000078519",25,113,239,23,150,168
"ENSMUSG00000111259",0,0,0,0,0,0
"ENSMUSG00000084133",0,0,0,0,0,0
"ENSMUSG00000073765",0,0,0,0,0,0
"ENSMUSG00000024903",0,0,0,0,0,0
"ENSMUSG00000085895",0,0,0,0,0,0
"ENSMUSG00000089591",0,0,0,0,0,0
"ENSMUSG00000087238",0,0,0,0,0,0
"ENSMUSG00000082143",0,0,0,0,0,0
"ENSMUSG00000087464",0,0,0,0,0,0
"ENSMUSG00000066060",0,44,18,0,0,0
"ENSMUSG00000028645",628,3918,18064,572,2757,3223
"ENSMUSG00000088552",0,0,0,0,6,0
"ENSMUSG00000086683",0,2,5,0,0,0
"ENSMUSG00000085505",0,0,20,0,7,0
"ENSMUSG00000045268",182,666,1641,118,634,755
"ENSMUSG00000061859",626,2693,8466,736,3362,5151
"ENSMUSG00002076106",0,0,0,0,0,0
"ENSMUSG00002076456",0,0,0,0,0,0
"ENSMUSG00000081046",0,4,4,0,0,2
"ENSMUSG00000028644",0,14,16,0,14,12
"ENSMUSG00000087166",0,0,0,0,0,0
"ENSMUSG00000090718",0,0,0,0,0,0
"ENSMUSG00000028643",72,421,1040,108,396,380
"ENSMUSG00000035407",2,4,0,0,26,2
"ENSMUSG00000085843",0,0,0,0,0,0
"ENSMUSG00000073794",0,0,0,0,0,0
"ENSMUSG00000084188",0,0,0,0,0,0
"ENSMUSG00000078584",196,1177,2259,128,753,1320
"ENSMUSG00000028759",1924,7885,24719,1979,9250,14806
"ENSMUSG00000028642",1,9,26,0,2,5
"ENSMUSG00000085626",0,0,0,0,0,0
"ENSMUSG00000028560",378,1676,4868,346,1682,2719
"ENSMUSG00000045349",200,823,2113,473,2094,2568
"ENSMUSG00000028758",40,220,576,69,250,378
"ENSMUSG00000028757",9186,51265,125099,6416,30943,41150
"ENSMUSG00000028756",1549,6233,16905,1683,7441,10210
"ENSMUSG00000099200",0,0,0,0,0,0
"ENSMUSG00002075257",0,0,0,0,0,0
"ENSMUSG00000028755",407,1798,5993,389,1738,2308
"ENSMUSG00000078235",0,2,0,0,2,0
"ENSMUSG00000046109",0,0,0,0,0,0
"ENSMUSG00000083326",4,2,4,0,2,4
"ENSMUSG00000041241",467,2622,7518,494,2633,3647
"ENSMUSG00000046447",5652,29733,93042,8877,39197,50368
"ENSMUSG00000028753",22,110,370,10,71,141
"ENSMUSG00002074957",0,0,0,0,0,0
"ENSMUSG00000028641",667,3951,7923,391,2162,2849
"ENSMUSG00000085203",0,0,0,0,0,0
"ENSMUSG00000066058",0,0,0,0,0,0
"ENSMUSG00000028639",5945,28632,68010,4304,25827,28301
"ENSMUSG00000102819",0,2,13,1,3,1
"ENSMUSG00000070661",176,907,1928,204,680,1053
"ENSMUSG00000041143",93,752,2164,109,856,881
"ENSMUSG00000028747",0,0,18,0,0,0
"ENSMUSG00000110296",0,0,3,0,0,0
"ENSMUSG00000041120",548,2442,7672,690,3218,3849
"ENSMUSG00000050608",1985,8725,19330,1275,5775,6779
"ENSMUSG00000083238",0,0,0,0,0,0
"ENSMUSG00000073739",0,2,10,1,1,0
"ENSMUSG00000060288",201,784,1434,54,514,557
"ENSMUSG00000028556",320,1528,4778,340,2047,3089
"ENSMUSG00000028553",0,0,0,0,8,0
"ENSMUSG00000081733",0,0,8,0,0,0
"ENSMUSG00000087395",0,4,3,0,0,0
"ENSMUSG00000086498",0,0,0,0,0,0
"ENSMUSG00000028550",220,878,2835,164,1072,1926
"ENSMUSG00000104479",0,2,0,0,2,0
"ENSMUSG00000070891",0,12,33,0,1,2
"ENSMUSG00000103097",0,0,0,0,0,0
"ENSMUSG00000081184",0,0,0,0,0,0
"ENSMUSG00000082442",0,0,0,0,0,0
"ENSMUSG00000081150",0,0,0,0,0,0
"ENSMUSG00000080803",0,0,0,0,0,0
"ENSMUSG00000103575",0,0,0,0,0,0
"ENSMUSG00000083698",0,0,0,0,0,0
"ENSMUSG00000028745",2492,12969,31347,2193,12160,13415
"ENSMUSG00000028744",131,736,1787,104,676,659
"ENSMUSG00000028549",181,923,2435,165,500,850
"ENSMUSG00000028743",400,2296,5512,456,2066,2425
"ENSMUSG00000118507",0,0,0,0,0,0
"ENSMUSG00002075764",4,3,13,1,2,1
"ENSMUSG00002075188",2,6,23,0,5,2
"ENSMUSG00000083404",0,0,0,0,0,0
"ENSMUSG00000080708",0,2,2,0,2,0
"ENSMUSG00000028741",270,1958,4086,276,1622,1600
"ENSMUSG00000085142",0,0,0,0,0,0
"ENSMUSG00000035305",56,166,852,56,275,578
"ENSMUSG00000086385",0,0,0,0,0,0
"ENSMUSG00000080967",0,0,0,0,0,0
"ENSMUSG00000069733",2,0,12,2,20,8
"ENSMUSG00000085871",0,0,0,0,0,0
"ENSMUSG00000081553",0,0,2,0,0,0
"ENSMUSG00000082601",0,0,0,0,0,0
"ENSMUSG00000028637",141,665,1947,109,489,771
"ENSMUSG00000083836",0,22,86,0,12,24
"ENSMUSG00000118403",0,0,0,0,0,0
"ENSMUSG00000028636",200,1253,2615,147,704,1143
"ENSMUSG00000070806",2,21,125,18,36,95
"ENSMUSG00000048899",102,249,1101,13,211,319
"ENSMUSG00000082009",0,0,0,0,0,0
"ENSMUSG00000082814",0,0,0,0,4,0
"ENSMUSG00000080773",0,0,3,0,0,10
"ENSMUSG00000084379",0,0,0,0,0,9
"ENSMUSG00000119323",0,0,0,0,0,0
"ENSMUSG00000087385",62,267,677,24,150,299
"ENSMUSG00000078517",452,2039,6045,490,2249,3088
"ENSMUSG00000028532",16,192,227,6,256,138
"ENSMUSG00000073789",0,0,0,0,0,0
"ENSMUSG00000102578",0,0,0,0,0,0
"ENSMUSG00000035275",0,2,4,2,8,14
"ENSMUSG00000088551",0,0,0,0,0,0
"ENSMUSG00000028530",1724,6527,20336,1467,8894,13345
"ENSMUSG00000032998",682,2524,7971,509,2706,4323
"ENSMUSG00000077677",0,0,0,0,0,0
"ENSMUSG00000082928",0,0,0,0,0,0
"ENSMUSG00000065279",0,0,0,0,0,0
"ENSMUSG00000081678",0,0,0,0,0,0
"ENSMUSG00000085863",0,0,0,0,0,0
"ENSMUSG00000081621",0,0,0,0,0,0
"ENSMUSG00000065451",0,0,0,0,0,0
"ENSMUSG00000023247",0,96,24,20,30,46
"ENSMUSG00000087361",4,3,37,4,21,2
"ENSMUSG00000083614",1,0,0,0,0,0
"ENSMUSG00000084758",2,0,0,0,0,0
"ENSMUSG00000032978",0,10,0,2,6,2
"ENSMUSG00000028634",444,1748,4604,315,1912,2546
"ENSMUSG00000115115",0,0,0,0,0,0
"ENSMUSG00000028527",59,867,5978,54,393,803
"ENSMUSG00000028635",2,8,28,2,2,6
"ENSMUSG00000052135",200,1107,3615,425,1709,2414
"ENSMUSG00000000085",472,2225,7115,591,2812,4135
"ENSMUSG00000047518",0,0,14,0,4,6
"ENSMUSG00000028633",506,2056,5081,380,2208,2470
"ENSMUSG00000028528",300,1620,5486,449,2133,4186
"ENSMUSG00000066036",3833,23439,100859,2993,17713,31620
"ENSMUSG00002075496",0,0,0,0,0,0
"ENSMUSG00000035212",778,3358,9457,592,3393,3966
"ENSMUSG00000041025",162,653,1350,118,745,897
"ENSMUSG00002075565",0,0,1,0,0,0
"ENSMUSG00000094439",0,0,0,0,0,4
"ENSMUSG00000028737",187,899,2814,195,849,1113
"ENSMUSG00000098569",0,0,0,0,0,0
"ENSMUSG00000028738",0,2,4,0,0,0
"ENSMUSG00000032897",642,2177,6614,496,2144,3082
"ENSMUSG00000065490",0,0,0,0,0,0
"ENSMUSG00000119752",0,0,0,0,0,0
"ENSMUSG00000118731",0,0,0,0,0,0
"ENSMUSG00002076639",0,0,0,0,0,0
"ENSMUSG00000028736",2,0,0,0,0,0
"ENSMUSG00000087646",0,0,0,0,0,0
"ENSMUSG00000087628",0,0,4,0,0,0
"ENSMUSG00000085928",0,0,0,0,0,0
"ENSMUSG00000078234",20,38,120,8,96,85
"ENSMUSG00000089294",0,0,0,0,0,0
"ENSMUSG00000040972",92,557,1063,63,313,346
"ENSMUSG00000085968",0,0,30,0,0,1
"ENSMUSG00000086164",0,2,40,0,6,1
"ENSMUSG00000103107",0,0,0,0,0,0
"ENSMUSG00000087084",0,0,0,0,0,0
"ENSMUSG00000086960",0,0,0,0,0,0
"ENSMUSG00000086437",0,0,0,0,0,0
"ENSMUSG00000085047",0,0,0,0,0,0
"ENSMUSG00000118416",0,0,0,0,0,0
"ENSMUSG00000032890",514,1797,8372,460,2510,4580
"ENSMUSG00000082200",0,6,6,0,0,0
"ENSMUSG00000089381",0,0,0,0,0,0
"ENSMUSG00000028629",136,654,1634,134,608,888
"ENSMUSG00000064141",2,38,119,7,54,101
"ENSMUSG00000032870",2105,9339,33864,2185,9833,13455
"ENSMUSG00000106436",0,0,0,0,0,0
"ENSMUSG00000028626",110,318,1263,50,242,420
"ENSMUSG00000043207",1152,4514,13306,732,4062,6332
"ENSMUSG00002076811",0,0,0,0,0,0
"ENSMUSG00000088168",0,0,0,0,0,0
"ENSMUSG00000078577",0,0,0,0,0,0
"ENSMUSG00000081423",0,0,0,0,0,0
"ENSMUSG00000082891",0,0,0,0,0,0
"ENSMUSG00000081305",0,0,0,0,0,0
"ENSMUSG00002076717",0,0,0,0,0,0
"ENSMUSG00000057722",4,0,8,0,16,16
"ENSMUSG00000049878",236,720,3181,210,1052,1692
"ENSMUSG00000080706",0,0,0,0,0,0
"ENSMUSG00000073764",0,0,0,0,0,0
"ENSMUSG00000083941",0,0,0,0,0,0
"ENSMUSG00000083901",0,0,0,0,0,0
"ENSMUSG00000081465",0,0,0,0,0,0
"ENSMUSG00000081667",0,0,0,0,0,0
"ENSMUSG00000035201",0,0,0,0,0,0
"ENSMUSG00000081121",34,68,206,6,107,116
"ENSMUSG00000081045",0,0,0,0,0,0
"ENSMUSG00000078576",0,0,0,0,0,0
"ENSMUSG00000082821",0,0,0,0,0,0
"ENSMUSG00000046133",0,6,0,0,0,0
"ENSMUSG00000088418",0,0,0,0,0,0
"ENSMUSG00000084208",0,0,0,0,0,0
"ENSMUSG00000037028",0,0,0,0,0,0
"ENSMUSG00000078575",0,0,0,0,0,0
"ENSMUSG00000083615",0,0,0,0,0,0
"ENSMUSG00000070890",0,0,0,0,0,0
"ENSMUSG00000083679",6,57,108,2,37,50
"ENSMUSG00000083558",500,908,2242,292,876,476
"ENSMUSG00000078626",0,2,0,0,0,0
"ENSMUSG00000083949",0,0,0,0,0,0
"ENSMUSG00000083867",0,0,0,0,0,0
"ENSMUSG00000083365",500,908,2242,292,876,476
"ENSMUSG00000081377",0,0,0,0,0,0
"ENSMUSG00000078625",0,0,0,0,0,0
"ENSMUSG00000084196",0,0,0,0,0,0
"ENSMUSG00000082264",10,40,97,2,0,16
"ENSMUSG00000080871",0,0,0,0,0,0
"ENSMUSG00000083109",0,0,0,0,0,0
"ENSMUSG00000023263",0,0,0,0,0,0
"ENSMUSG00000084082",0,0,0,0,0,0
"ENSMUSG00000083494",0,0,0,0,0,0
"ENSMUSG00000028657",1111,4388,11897,881,3498,6191
"ENSMUSG00000028525",631,2501,8329,480,2578,4653
"ENSMUSG00000077260",0,0,0,0,0,0
"ENSMUSG00000028656",2541,11762,33243,2374,13495,16332
"ENSMUSG00000040964",96,976,3143,146,1141,1551
"ENSMUSG00000080929",0,0,0,0,0,0
"ENSMUSG00000086159",0,0,4,0,0,2
"ENSMUSG00002076108",0,0,13,0,2,3
"ENSMUSG00000028655",10,210,254,22,112,145
"ENSMUSG00000086443",4,20,36,0,0,0
"ENSMUSG00000028654",0,24,22,6,52,24
"ENSMUSG00000040945",1528,8117,25825,1340,8241,10880
"ENSMUSG00002075547",0,0,0,0,0,0
"ENSMUSG00000028653",119,545,1226,107,590,630
"ENSMUSG00000086153",0,0,0,0,0,0
"ENSMUSG00000002384",2,0,0,0,0,18
"ENSMUSG00000102997",0,0,0,4,0,2
"ENSMUSG00000076438",0,0,0,0,0,0
"ENSMUSG00000040935",0,0,0,0,0,0
"ENSMUSG00000028651",285,1352,2439,149,1159,1141
"ENSMUSG00000025330",4,2,8,0,8,2
"ENSMUSG00000046093",4,26,110,8,102,78
"ENSMUSG00000054958",10,0,0,1,5,4
"ENSMUSG00000025328",0,0,0,0,0,0
"ENSMUSG00000032744",74,460,588,26,156,464
"ENSMUSG00000085918",0,19,15,10,2,17
"ENSMUSG00000083720",0,0,0,0,0,0
"ENSMUSG00000025329",16,20,17,1,16,12
"ENSMUSG00000087045",0,0,0,0,0,0
"ENSMUSG00000028927",30,251,325,30,293,157
"ENSMUSG00000064443",0,0,0,0,0,0
"ENSMUSG00000087698",4,88,217,6,63,92
"ENSMUSG00000009863",1317,7125,17923,1024,4997,5500
"ENSMUSG00000028524",26,111,250,6,110,129
"ENSMUSG00000085181",0,0,4,0,0,3
"ENSMUSG00000028523",0,0,0,0,0,0
"ENSMUSG00000066090",0,2,2,0,0,0
"ENSMUSG00000011257",2592,13137,31428,1722,10751,10879
"ENSMUSG00000082634",0,0,0,0,0,0
"ENSMUSG00000064655",0,2,3,0,0,0
"ENSMUSG00000065778",0,0,0,0,0,0
"ENSMUSG00000118657",0,0,0,0,0,0
"ENSMUSG00000032726",0,4,30,0,6,10
"ENSMUSG00000076436",0,0,0,0,0,0
"ENSMUSG00000036622",740,5228,11945,764,4646,5528
"ENSMUSG00000035126",48,95,221,14,54,139
"ENSMUSG00000060572",20,217,451,35,198,186
"ENSMUSG00000080744",0,0,0,0,0,0
"ENSMUSG00000028522",496,2008,5101,382,2307,3736
"ENSMUSG00000028521",149,472,1580,125,587,934
"ENSMUSG00000107726",4,22,16,0,24,6
"ENSMUSG00000040860",341,1267,5711,280,1463,2837
"ENSMUSG00000028520",0,0,0,0,0,0
"ENSMUSG00000078618",0,0,0,0,0,0
"ENSMUSG00000035069",226,1252,3135,166,1114,1342
"ENSMUSG00000086136",0,8,0,0,0,0
"ENSMUSG00002076094",0,0,0,0,0,0
"ENSMUSG00000087482",0,0,0,0,0,0
"ENSMUSG00000081584",0,0,0,0,0,0
"ENSMUSG00000059195",4644,25821,64115,4372,30311,29939
"ENSMUSG00002075410",0,0,0,0,0,0
"ENSMUSG00000077514",0,0,0,0,0,0
"ENSMUSG00000028923",524,2898,6288,382,2677,2387
"ENSMUSG00000082246",0,0,0,0,0,0
"ENSMUSG00000045004",0,0,2,0,0,0
"ENSMUSG00000040842",1131,5557,13913,907,5697,6604
"ENSMUSG00000097620",2,0,0,0,0,0
"ENSMUSG00000028519",6,6,44,4,10,55
"ENSMUSG00000080913",0,0,0,0,0,0
"ENSMUSG00000081696",0,0,0,0,0,0
"ENSMUSG00000028920",404,1716,6025,426,2242,3451
"ENSMUSG00000073733",0,53,257,17,67,69
"ENSMUSG00000103366",3,22,49,6,23,25
"ENSMUSG00000029656",418,2158,4758,798,2978,3672
"ENSMUSG00000028919",238,1348,4299,138,954,1125
"ENSMUSG00000035031",0,0,0,0,0,0
"ENSMUSG00000085774",0,0,0,0,1,0
"ENSMUSG00000006445",106,564,1282,66,776,634
"ENSMUSG00002075485",0,0,0,0,0,0
"ENSMUSG00000085836",0,0,0,0,0,0
"ENSMUSG00000084238",0,0,0,0,0,0
"ENSMUSG00000006218",4,74,20,0,14,18
"ENSMUSG00000033770",0,0,0,0,0,0
"ENSMUSG00000086061",0,0,0,0,0,0
"ENSMUSG00000006216",0,0,0,0,0,0
"ENSMUSG00000006221",32,122,132,8,128,64
"ENSMUSG00000070637",0,0,0,0,0,0
"ENSMUSG00000006215",320,1787,3886,272,1361,1408
"ENSMUSG00000040761",393,1708,6555,536,2679,4823
"ENSMUSG00000048406",181,659,1604,146,730,913
"ENSMUSG00000006219",152,700,1206,122,844,596
"ENSMUSG00000043085",2,0,104,2,12,15
"ENSMUSG00000073731",0,0,0,0,0,0
"ENSMUSG00000040740",0,10,10,0,0,0
"ENSMUSG00000028917",359,1782,6312,398,2123,2610
"ENSMUSG00000110067",0,0,0,0,0,0
"ENSMUSG00000103678",0,0,0,0,0,0
"ENSMUSG00000057637",728,2575,9802,634,3021,5726
"ENSMUSG00000106597",0,0,0,0,0,0
"ENSMUSG00000081838",0,0,0,0,0,0
"ENSMUSG00000083826",0,0,8,0,6,2
"ENSMUSG00000087903",0,0,0,0,0,0
"ENSMUSG00000082575",3,25,118,8,47,27
"ENSMUSG00000028583",186,614,1148,138,1794,802
"ENSMUSG00002075549",0,0,0,0,0,0
"ENSMUSG00000028584",2,6,20,14,6,4
"ENSMUSG00000081523",0,0,0,0,0,0
"ENSMUSG00000044377",10,66,300,8,69,74
"ENSMUSG00000066688",0,0,0,0,0,0
"ENSMUSG00000078513",0,0,0,0,0,0
"ENSMUSG00000084351",0,0,0,0,0,0
"ENSMUSG00000081227",0,0,0,0,0,0
"ENSMUSG00000070617",0,0,0,0,0,0
"ENSMUSG00000046435",0,0,0,0,0,0
"ENSMUSG00000082717",0,0,0,0,0,0
"ENSMUSG00000082030",0,0,0,0,0,0
"ENSMUSG00000066031",0,0,0,0,0,0
"ENSMUSG00000059218",0,0,0,0,0,0
"ENSMUSG00000029451",0,0,0,0,0,0
"ENSMUSG00000078512",0,0,0,0,0,0
"ENSMUSG00000083749",0,0,0,0,0,0
"ENSMUSG00000084123",0,0,0,0,0,0
"ENSMUSG00000078511",0,0,0,0,0,0
"ENSMUSG00000078510",0,0,0,0,0,0
"ENSMUSG00000078509",0,0,0,0,0,0
"ENSMUSG00000083456",0,0,0,0,0,0
"ENSMUSG00000095987",0,0,0,0,0,0
"ENSMUSG00000073724",0,0,0,0,0,0
"ENSMUSG00000073723",0,0,0,0,0,0
"ENSMUSG00000050810",0,0,0,0,0,0
"ENSMUSG00000066030",0,0,0,0,0,0
"ENSMUSG00000046262",0,0,0,0,0,0
"ENSMUSG00000083708",54,246,610,65,152,175
"ENSMUSG00000036749",0,0,0,0,0,0
"ENSMUSG00000095960",0,0,0,0,0,0
"ENSMUSG00000080943",0,0,0,0,0,0
"ENSMUSG00000078508",0,0,0,0,0,0
"ENSMUSG00000084312",0,0,0,0,0,0
"ENSMUSG00000070619",0,0,0,0,0,0
"ENSMUSG00000073721",0,0,0,0,0,0
"ENSMUSG00000028591",2,56,102,6,28,65
"ENSMUSG00000028590",0,2,4,0,0,11
"ENSMUSG00000028589",0,0,0,0,0,0
"ENSMUSG00000095213",0,0,0,0,0,0
"ENSMUSG00000078507",0,0,0,0,0,0
"ENSMUSG00000118540",0,0,0,0,0,0
"ENSMUSG00000082835",0,0,0,0,0,0
"ENSMUSG00000028593",0,0,0,0,0,0
"ENSMUSG00000083390",0,0,0,0,0,0
"ENSMUSG00000082418",0,0,2,0,0,0
"ENSMUSG00000078506",0,0,0,0,0,0
"ENSMUSG00000070610",36,115,443,38,131,273
"ENSMUSG00000070609",0,0,0,0,0,0
"ENSMUSG00000078505",0,0,0,0,0,0
"ENSMUSG00000041735",0,0,0,0,0,0
"ENSMUSG00000077327",0,0,0,0,0,0
"ENSMUSG00000078504",0,0,0,0,0,0
"ENSMUSG00000083998",0,0,0,0,0,0
"ENSMUSG00000066026",112,675,1236,314,1048,1217
"ENSMUSG00000103911",0,0,0,0,0,0
"ENSMUSG00000020220",389,1587,5409,377,2046,3449
"ENSMUSG00000028599",76,274,968,110,668,416
"ENSMUSG00000028602",0,0,2,2,4,0
"ENSMUSG00000082758",0,0,0,0,0,0
"ENSMUSG00000084272",0,0,0,0,0,0
"ENSMUSG00000082082",0,0,0,0,0,0
"ENSMUSG00000083081",0,0,0,0,0,0
"ENSMUSG00000052912",3,50,142,18,36,68
"ENSMUSG00000087076",0,0,0,0,0,0
"ENSMUSG00000078503",0,20,1,0,4,2
